RankQS,Name,location,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,score scaled
1201-1400,Feng Chia University,TW,L,FO,VH,3,C,8.2,501+,8.9,501+,4.7,601+,7.4,601+,4.8,601+,9.2,601+,15.6,601+,9.6,601+,-
1201-1400,Florida Atlantic University - Boca Raton,US,L,FC,HI,4,A,4.6,501+,6.4,501+,5.9,601+,10.7,601+,8.9,601+,4.1,601+,44.1,601+,12,601+,-
1201-1400,Fu Jen Catholic University,TW,L,FC,MD,4,B,6.3,501+,10.3,501+,5.6,601+,7.3,601+,7.3,601+,17.1,577,9.5,601+,20.2,583,-
1201-1400,Fundación Universidad De Bogotá-Jorge Tadeo Lozano,CO,M,FO,HI,4,C,5.2,501+,7.9,501+,9.5,601+,1.9,601+,4.5,601+,1.2,601+,8.1,601+,31.2,399,-
1201-1400,Gebze Yüksek Teknoloji Enstitüsü (GYTE),TR,M,CO,VH,3,A,2.7,501+,1.6,501+,13.7,601+,9.3,601+,3.8,601+,2.2,601+,24.1,601+,5.6,601+,-
1201-1400,German University in Cairo,EG,L,CO,MD,2,B,6.5,501+,7.5,501+,8,601+,2.1,601+,15.6,601+,1.2,601+,6.9,601+,27,461,-
1201-1400,Hanoi University of Science and Technology,VN,XL,FO,VH,4,A,7.6,501+,6.8,501+,3.3,601+,5.3,601+,3.7,601+,1.2,601+,59.7,572,25.8,479,-
1201-1400,Helwan University ,EG,XL,CO,HI,3,A,6,501+,9.1,501+,5.4,601+,1.6,601+,1.3,601+,1.8,601+,36.9,601+,4.8,601+,-
1201-1400,Hohai University,CN,XL,FO,VH,3,A,3.5,501+,1.4,501+,9.1,601+,12.3,601+,,,,,55.3,601+,4.6,601+,-
1201-1400,Hongik University ,KR,L,FO,VH,4,C,4.1,501+,5.1,501+,10,601+,3.2,601+,19.7,586,10.8,601+,7.9,601+,9.6,601+,-
1201-1400,Humboldt State University,US,M,CO,HI,3,A,3.6,501+,2.4,501+,8.5,601+,4.9,601+,2.8,601+,1.7,601+,16.2,601+,13.8,601+,-
1201-1400,Illinois State University,US,L,FO,VH,5,A,3.3,501+,4.1,501+,6.6,601+,5.3,601+,5,601+,2.8,601+,14.3,601+,14.3,601+,-
