RankQS,Name,location,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,score scaled
1201-1400,Universidad Nacional de Mar del Plata,AR,L,CO,HI,3,A,9.6,501+,3,501+,7.3,601+,3.7,601+,,,,,22.5,601+,5.5,601+,-
1201-1400,Universidad Nacional de Quilmes,AR,L,FO,HI,3,A,7,501+,2.2,501+,3.4,601+,1.9,601+,3.4,601+,2,601+,5,601+,3.7,601+,-
1201-1400,Universidad Nacional de San Martín (UNSAM),AR,L,CO,HI,3,A,11,501+,3.4,501+,8.2,601+,2.5,601+,3.4,601+,5.3,601+,20.5,601+,3.7,601+,-
1201-1400,Universidad Nacional de Tucumán,AR,XL,FC,MD,5,A,7.4,501+,2.5,501+,2.9,601+,1.9,601+,,,,,33.4,601+,3.3,601+,-
1201-1400,Universidad Nacional del Comahue,AR,XL,FC,MD,4,A,4.1,501+,2.2,501+,23.4,601+,1.4,601+,,,,,17.5,601+,3.5,601+,-
1201-1400,Universidad Nacional del Litoral,AR,XL,CO,HI,5,A,11.6,501+,6,501+,3.1,601+,2.5,601+,1.6,601+,1.1,601+,15.8,601+,3.4,601+,-
1201-1400,Universidad Nacional del Sur,AR,L,FC,HI,4,A,5.7,501+,2.5,501+,11.2,601+,2.5,601+,,,,,17.4,601+,3.9,601+,-
1201-1400,Universidad Popular Autónoma del Estado de Puebla (UPAEP),MX,M,FO,MD,3,C,4.4,501+,6.5,501+,20.7,601+,1.2,601+,3,601+,2.2,601+,1.4,601+,7.4,601+,-
1201-1400,Universidad San Ignacio de Loyola,PE,L,FO,MD,3,B,5.8,501+,12.8,501+,2,601+,1.2,601+,3.8,601+,1.6,601+,2.4,601+,10.4,601+,-
1201-1400,Universidad Tecnica Particular De Loja (UPTL),EC,XL,FO,HI,4,C,4.3,501+,4.7,501+,1.6,601+,1.7,601+,10.9,601+,1.4,601+,7.9,601+,9.4,601+,-
1201-1400,"Universidad Tecnológica de la Habana José Antonio Echeverría, Cujae",CU,M,SP,LO,3,A,6.4,501+,1.2,501+,20.2,601+,1.1,601+,3.7,601+,5.1,601+,6.8,601+,37,353,-
1201-1400,Universidad Tecnológica de Pereira,CO,L,CO,MD,4,A,4,501+,8.2,501+,3.6,601+,1.9,601+,1.5,601+,1,601+,12.9,601+,3.7,601+,-
1201-1400,Universidad Veracruzana,MX,XL,FO,HI,4,A,8.7,501+,4,501+,8.8,601+,1.4,601+,,,,,14,601+,4,601+,-
1201-1400,Universidade do Estado de Santa Catarina,BR,L,CO,HI,4,A,3.2,501+,1.4,501+,27.6,549,1.9,601+,,,,,10.4,601+,3.2,601+,-
1201-1400,Universidade Estadual de Londrina,BR,L,FC,HI,4,A,2.9,501+,4.6,501+,16.6,601+,3.8,601+,2,601+,1.4,601+,14.6,601+,2.9,601+,-
1201-1400,Universidade Federal da Bahia,BR,XL,FC,HI,4,A,8.2,501+,3,501+,9.8,601+,3.2,601+,6.1,601+,1.6,601+,50.1,601+,10.4,601+,-
1201-1400,Universidade Federal da Paraíba,BR,XL,CO,HI,4,A,3.3,501+,3,501+,11.2,601+,3.2,601+,2.9,601+,1.2,601+,28.4,601+,2.7,601+,-
1201-1400,Universidade Federal de Goiás,BR,XL,CO,VH,4,A,3.2,501+,1.5,501+,7.8,601+,4.4,601+,4.1,601+,1.3,601+,26.7,601+,2.7,601+,-
1201-1400,Universidade Federal de Santa Maria,BR,L,FC,HI,4,A,5.3,501+,1.7,501+,14.5,601+,4.9,601+,2.9,601+,1.3,601+,37.1,601+,4.8,601+,-
1201-1400,Universidade Federal de Uberlândia,BR,L,FC,HI,3,A,3.1,501+,2.2,501+,12.8,601+,3.3,601+,2.5,601+,1.4,601+,44.7,601+,2.8,601+,-
1201-1400,Universidade Federal de Viçosa (UFV),BR,L,FC,HI,5,A,4.5,501+,2.1,501+,14.6,601+,8.6,601+,3.3,601+,2,601+,25.2,601+,4.1,601+,-
1201-1400,Universidade Federal do Ceará (UFC),BR,XL,FC,HI,4,A,6.9,501+,3,501+,10.2,601+,5.9,601+,1.4,601+,1.3,601+,44.2,601+,2.7,601+,-
1201-1400,Universidade Federal do Estado do Rio de Janeiro - UNIRIO,BR,L,FC,MD,4,A,2.7,501+,1.9,501+,13.5,601+,2.2,601+,,,,,9,601+,3.2,601+,-
1201-1400,Universidade Federal do Parà - UFPA,BR,XL,FC,HI,4,A,2.8,501+,1.9,501+,8,601+,2.5,601+,3.2,601+,1,601+,28.8,601+,2.6,601+,-
1201-1400,Universidade Federal do Rio Grande Do Norte,BR,XL,FC,HI,4,A,3.8,501+,2.2,501+,8.1,601+,2.7,601+,,,,,35.4,601+,5.3,601+,-
1201-1400,Universidade Federal Fluminense ,BR,XL,FC,HI,4,A,8.9,501+,3.2,501+,10.9,601+,3.6,601+,6,601+,1.6,601+,54.5,601+,7.5,601+,-
1201-1400,Universidade Presbiteriana Mackenzie,BR,L,CO,MD,4,C,3.2,501+,9.2,501+,9.1,601+,1.8,601+,5.7,601+,1.2,601+,7.2,601+,57.5,195,-
1201-1400,"Universita' degli Studi ""G. d'Annunzio"" Chieti Pescara",IT,L,FO,VH,4,A,3,501+,1.2,501+,3.6,601+,23.5,510,4.5,601+,3.4,601+,64,520,5.2,601+,-
1201-1400,Università degli studi di Bergamo,IT,L,FO,VH,3,A,4.7,501+,2.4,501+,3.2,601+,5.2,601+,19.8,585,7.5,601+,19.6,601+,4.9,601+,-
1201-1400,Universitas Andalas,ID,L,CO,HI,4,A,5.3,501+,3.1,501+,5.7,601+,1.3,601+,1.2,601+,1.1,601+,5.5,601+,5.6,601+,-
1201-1400,Universitas Muhammadiyah Surakarta,ID,L,FO,HI,3,B,4,501+,1.9,501+,7.1,601+,1.1,601+,4.8,601+,1.1,601+,5.3,601+,5.6,601+,-
1201-1400,Universitas Sumatera Utara,ID,XL,FC,HI,4,A,5.9,501+,3.9,501+,17.9,601+,1.3,601+,5.2,601+,2.4,601+,9.1,601+,6.4,601+,-
1201-1400,Universitatea de Vest din Timisoara / West University of Timisoara,RO,L,FO,HI,4,A,8.8,501+,6.2,501+,5.3,601+,2.8,601+,1.8,601+,5.8,601+,22,601+,16.9,601+,-
1201-1400,Université de Caen Normandie,FR,L,FC,HI,5,A,8.2,501+,2.2,501+,6.5,601+,4.3,601+,10.3,601+,7.7,601+,51.1,601+,2.7,601+,-
1201-1400,Université de Tunis,TN,L,FO,VH,4,A,4.9,501+,1.2,501+,16.3,601+,1.8,601+,,,,,10.5,601+,,,-
1201-1400,Université de Tunis El Manar,TN,L,FC,VH,2,A,6.2,501+,1.4,501+,16.9,601+,4.3,601+,6.9,601+,2.3,601+,79.5,328,19.7,596,-
1201-1400,Université Jean Moulin Lyon 3,FR,L,SP,VH,5,A,7.9,501+,4.5,501+,1.9,601+,2,601+,28.6,491,31.4,418,5.3,601+,4.4,601+,-
1201-1400,Université Paris-Nanterre,FR,XL,FO,VH,5,A,11.7,501+,2.9,501+,3.2,601+,3.1,601+,11,601+,1.6,601+,42.8,601+,21.5,555,-
1201-1400,University of Babylon,IQ,XL,FC,HI,3,A,3.3,501+,5,501+,13.8,601+,1.9,601+,1.1,601+,1,601+,15.1,601+,42.9,299,-
1201-1400,University of Basrah,IQ,XL,FC,MD,4,A,4,501+,5,501+,14,601+,1.4,601+,1.1,601+,,,17.4,601+,41.4,315,-
1201-1400,University of Central Oklahoma,US,L,CO,MD,,A,3,501+,1.2,501+,10.3,601+,1.3,601+,18.3,600,12.2,601+,3.9,601+,4.3,601+,-
1201-1400,University of Colombo,LK,L,CO,HI,5,A,10.2,501+,8.6,501+,3.4,601+,2.9,601+,1.2,601+,1.2,601+,14.7,601+,69.6,140,-
1201-1400,University of Ghana,GH,XL,FC,HI,4,A,9.2,501+,6.2,501+,3.5,601+,5.5,601+,6.1,601+,1.9,601+,51.1,601+,88.7,77,-
1201-1400,University of International Business and Economics,CN,L,FO,HI,4,A,3.2,501+,1.8,501+,11.1,601+,2.4,601+,8.3,601+,35.2,391,8.6,601+,15.7,601+,-
1201-1400,University of Karachi,PK,XL,CO,HI,4,A,10.3,501+,15.7,501+,1.6,601+,4.4,601+,4.2,601+,1.1,601+,36.4,601+,13.6,601+,-
1201-1400,University of Khartoum,SD,L,FC,MD,4,A,5.8,501+,6.2,501+,10.6,601+,2.6,601+,,,1.7,601+,34.2,601+,,,-
1201-1400,University of Kragujevac,RS,L,FO,VH,3,A,3.5,501+,2.7,501+,13.2,601+,3.5,601+,1,601+,1.1,601+,37.4,601+,13.3,601+,-
1201-1400,University of Memphis,US,L,CO,VH,,A,3,501+,6.2,501+,14.3,601+,10.5,601+,3.1,601+,3.3,601+,41.4,601+,10.6,601+,-
1201-1400,University of Niš,RS,L,FC,HI,4,A,4.9,501+,4.4,501+,14.4,601+,2.9,601+,,,7,601+,50.6,601+,12.1,601+,-
1201-1400,University of North Carolina at Charlotte,US,L,CO,VH,4,A,5.6,501+,5.1,501+,5.3,601+,13.1,601+,7.2,601+,6.1,601+,61.4,553,12.6,601+,-
1201-1400,University of North Carolina at Greensboro,US,L,CO,HI,5,A,3.2,501+,5.2,501+,8.9,601+,10.9,601+,8.1,601+,2.6,601+,40.2,601+,4,601+,-
1201-1400,University of Northern British Columbia,CA,S,CO,,,A,3.4,501+,15.1,501+,3,601+,,601+,,,,,,,12.8,601+,-
1201-1400,University of Novi Sad,RS,XL,FC,HI,4,A,7.9,501+,4.6,501+,10.2,601+,3.5,601+,,,,,80.5,315,10.3,601+,-
1201-1400,University of Rzeszów,PL,L,FC,HI,3,A,3.9,501+,1.1,501+,19.4,601+,2.4,601+,,,1.9,601+,28.2,601+,4.8,601+,-
1201-1400,University of Sarajevo ,BA,XL,CO,HI,4,A,4.8,501+,3.2,501+,4.1,601+,2.1,601+,,,3.3,601+,38.9,601+,,,-
1201-1400,University of Silesia in Katowice,PL,L,CO,VH,4,A,5,501+,3.9,501+,14.9,601+,4.1,601+,3.1,601+,3.3,601+,54.8,601+,4.5,601+,-
1201-1400,University of South Alabama (USA),US,L,CO,HI,4,A,5,501+,5.6,501+,16.3,601+,6.7,601+,,,2,601+,19.7,601+,4.3,601+,-
1201-1400,University of Split,HR,L,FC,HI,3,A,5.4,501+,2.1,501+,3.7,601+,3.9,601+,1.6,601+,2.5,601+,42.7,601+,67.1,153,-
1201-1400,University of Texas El Paso ,US,L,FO,VH,5,A,4.6,501+,2.4,501+,5.4,601+,17.2,594,8.5,601+,6.7,601+,45.4,601+,4.8,601+,-
1201-1400,University of West Bohemia ,CZ,M,FO,VH,3,A,5.7,501+,1.8,501+,13.1,601+,4.4,601+,,,,,38.8,601+,18.7,601+,-
1201-1400,University POLITEHNICA of Bucharest,RO,L,FO,VH,5,A,5.7,501+,7.9,501+,4,601+,6.4,601+,1.5,601+,3.1,601+,56.6,601+,8.2,601+,-
1201-1400,"University Politehnica of Timisoara, UPT",RO,L,FO,VH,5,A,3,501+,3.2,501+,8.6,601+,3.6,601+,1.2,601+,2.3,601+,17.1,601+,12.2,601+,-
1201-1400,VSB - Technical University of Ostrava,CZ,M,FO,VH,5,A,4.3,501+,7.7,501+,12.6,601+,4,601+,7.5,601+,16.7,588,41.7,601+,9,601+,-
1201-1400,Western Washington University,US,L,CO,HI,5,A,3.1,501+,5.2,501+,7,601+,5.5,601+,11.3,601+,1.4,601+,11.2,601+,4.2,601+,-
1201-1400,Yarmouk University,JO,XL,FC,MD,3,A,10,501+,11.8,501+,2.5,601+,2.3,601+,4.1,601+,10.2,601+,12.1,601+,23.3,520,-
1201-1400,Youngsan University,KR,M,FO,MD,3,C,4.1,501+,9.4,501+,18,601+,1.2,601+,2.8,601+,6.3,601+,,,5.1,601+,-
1201-1400,Yuan Ze University,TW,M,FO,VH,3,C,4.6,501+,5.9,501+,7,601+,12.8,601+,7.1,601+,9,601+,8.7,601+,8.3,601+,-
1201-1400,Zagazig University,EG,XL,FC,HI,3,A,5,501+,3.1,501+,3.2,601+,2.3,601+,1.2,601+,2.1,601+,46.3,601+,4.8,601+,-
1401+,Ataturk University,TR,XL,CO,HI,4,A,3.5,501+,1.9,501+,3.1,601+,4,601+,3,601+,4.1,601+,29.6,601+,3.6,601+,-
1401+,California State University Long Beach,US,XL,CO,,4,A,3.3,501+,4.2,501+,7.6,601+,,601+,,,,,,,9.6,601+,-
1401+,Cukurova University,TR,XL,FC,MD,3,A,3.4,501+,2,501+,4,601+,2.5,601+,2.5,601+,5.6,601+,41.1,601+,3.7,601+,-
1401+,Damascus University,SY,XL,FC,MD,4,A,5.5,501+,4.4,501+,1.1,601+,1.2,601+,1.7,601+,1.5,601+,7.8,601+,69.8,138,-
1401+,Erciyes Üniversitesi,TR,XL,FC,HI,3,A,2.9,501+,2,501+,2.1,601+,4.9,601+,4.4,601+,6.2,601+,38.1,601+,3.6,601+,-
1401+,Pontificia Universidade Católica do Minas Gerais - PUC Minas,BR,XL,FO,HI,4,C,3.7,501+,4.6,501+,1.9,601+,1.5,601+,,,,,5.4,601+,8.7,601+,-
1401+,Sakarya University,TR,XL,FC,MD,3,A,2.9,501+,3,501+,2.4,601+,3.1,601+,2,601+,11,601+,21,601+,3.6,601+,-
1401+,Sudan University of Science and Technology,SD,XL,CO,MD,3,A,3.3,501+,2.8,501+,4,601+,1.2,601+,2,601+,1.6,601+,7.7,601+,,,-
1401+,Universidad Autónoma de Guadalajara (UAG),MX,M,FC,LO,4,C,5.8,501+,6,501+,,601+,,601+,,,,,3.5,601+,5.4,601+,-
1401+,"Universidad Católica Boliviana ""San Pablo""",BO,L,FO,LO,4,B,4.1,501+,4.8,501+,3.8,601+,1.1,601+,2.7,601+,3.3,601+,1.6,601+,1,601+,-
1401+,Universidad Católica de Santiago de Guayaquil,EC,L,FO,MD,4,B,3.4,501+,7.5,501+,2.8,601+,1.2,601+,4.4,601+,1,601+,5.9,601+,30.3,413,-
1401+,Universidad Católica de Temuco,CL,M,CO,HI,4,B,3.1,501+,1.4,501+,2.1,601+,4.1,601+,,,,,10.6,601+,4.6,601+,-
1401+,Universidad de Tarapaca,CL,M,FO,VH,3,A,3.3,501+,3,501+,1.9,601+,6.3,601+,,,,,30.2,601+,4.9,601+,-
1401+,Universidad Mayor de San Simón Cochabamba,BO,XL,CO,LO,5,A,3.6,501+,3.3,501+,1.2,601+,1.2,601+,,,,,13.7,601+,1,601+,-
1401+,Universidad Michoacana de San Nicolás de Hidalgo,MX,XL,FC,MD,5,A,3.4,501+,2.3,501+,2.8,601+,2.1,601+,,,,,19.3,601+,4.1,601+,-
1401+,Universidad Nacional Autónoma de Honduras (UNAH),HN,XL,FC,LO,5,A,4.6,501+,5.8,501+,3.6,601+,1,601+,1.7,601+,,,8.1,601+,,,-
1401+,Universidad Tecnológica de Bolívar,CO,M,FO,HI,4,B,3,501+,5.8,501+,2.4,601+,2.2,601+,9.3,601+,1.3,601+,8.8,601+,30.9,403,-
1401+,Université Mohammed V de Rabat,MA,XL,CO,VH,3,A,2.8,501+,2.6,501+,3.2,601+,3.6,601+,5.2,601+,2.8,601+,51.1,601+,,,-
1401+,University of Craiova,RO,L,CO,HI,4,A,3.3,501+,1.8,501+,2.7,601+,2,601+,,,,,7.5,601+,8.7,601+,-
1401+,University of Oradea,RO,L,FC,MD,4,A,4,501+,2.1,501+,3.3,601+,1.5,601+,1.7,601+,7.9,601+,16.6,601+,9.7,601+,-
