RankShangHai,Name,Region,Regional rank,Total score,Alumni,Award,Hici,N&S,PUB,PCP
73,Sun Yat-sen University,cn,7,28.3,24.1,0.0,29.4,17.6,78.3,24.1
73,University of Oslo,no,1,28.3,28.1,29.1,17.4,15.9,48.8,28.1
73,University of Sydney,au,4,28.3,29.6,0.0,32.9,19.1,64.1,29.6
76,University of Groningen,nl,2,28.1,27.6,22.6,22.8,19.7,51.1,27.6
77,Monash University,au,5,28.0,32.1,0.0,30.2,26.4,63.6,32.1
78,Aarhus University,dk,2,27.6,27.3,20.3,22.8,22.1,50.3,27.3
79,Technion-Israel Institute of Technology,il,2,27.4,39.4,34.9,13.2,22.8,31.4,39.4
80,The University of Texas M. D. Anderson Cancer Center,us,35,26.9,53.1,13.8,36.6,20.0,34.0,53.1
81,University of Basel,ch,5,26.8,39.2,14.1,17.4,31.1,37.1,39.2
82,Uppsala University,se,2,26.6,26.5,20.6,17.4,21.7,46.1,26.5
83,University of Pittsburgh,us,36,26.5,18.4,0.0,32.2,25.0,53.9,18.4
84,Ghent University,be,1,26.4,32.7,9.2,32.9,18.6,51.4,32.7
84,The Australian National University,au,6,26.4,30.8,17.4,22.8,25.1,41.1,30.8
86,KU Leuven,be,2,26.2,31.1,0.0,30.2,26.6,55.1,31.1
86,The Hebrew University of Jerusalem,il,3,26.2,29.4,26.1,11.4,20.7,39.6,29.4
88,Erasmus University Rotterdam,nl,3,26.1,32.3,13.0,27.9,14.9,48.0,32.3
88,The University of Hong Kong,hk,1,26.1,26.7,0.0,41.1,21.6,51.0,26.7
88,University of Bristol,gb,8,26.1,27.1,13.0,27.1,28.2,42.1,27.1
91,Huazhong University of Science and Technology,cn,8,26.0,21.6,0.0,24.6,17.9,72.8,21.6
91,University of Alberta,ca,4,26.0,26.4,16.0,23.7,16.3,52.0,26.4
93,Nanyang Technological University,sg,2,25.9,29.1,0.0,42.1,20.5,48.5,29.1
94,Seoul National University,kr,1,25.8,24.6,0.0,19.7,22.8,62.6,24.6
95,Central South University,cn,9,25.3,23.0,0.0,27.1,10.1,74.1,23.0
96,Nanjing University,cn,10,25.2,24.9,0.0,25.5,24.3,60.5,24.9
96,Purdue University - West Lafayette,us,37,25.2,22.7,20.9,17.4,21.7,45.5,22.7
98,Brown University,us,38,25.1,33.1,18.2,13.2,20.9,41.2,33.1
98,McMaster University,ca,5,25.1,30.3,17.2,27.1,11.3,41.9,30.3
98,Stockholm University,se,3,25.1,25.6,22.6,16.1,22.3,38.0,25.6
101-150,Arizona State University,us,39-51,,17.7,18.4,20.8,16.9,39.4,17.7
101-150,Beijing Institute of Technology,cn,11-23,,21.2,0.0,34.2,12.0,53.3,21.2
101-150,Boston University,us,39-51,,21.1,10.6,21.8,20.3,46.9,21.1
