RankShangHai,Name,Region,Regional rank,Total score,Alumni,Award,Hici,N&S,PUB,PCP
301-400,Dalhousie University,ca,12-17,,20.1,0.0,9.3,12.0,33.0,20.1
301-400,Dartmouth College,us,83-99,,21.9,0.0,9.3,11.0,26.5,21.9
301-400,Durham University,gb,26-33,,18.8,0.0,11.4,12.8,31.9,18.8
301-400,East China University of Science and Technology,cn,51-68,,16.3,0.0,19.7,6.1,37.6,16.3
301-400,Flinders University,au,16-22,,25.2,0.0,6.6,7.6,29.7,25.2
301-400,Griffith University,au,16-22,,24.0,0.0,6.6,14.9,37.4,24.0
301-400,Guangdong University of Technology,cn,51-68,,14.2,0.0,14.7,1.4,38.6,14.2
301-400,Guangxi University,cn,51-68,,15.1,0.0,11.4,6.3,39.3,15.1
301-400,Heinrich Heine University Duesseldorf,de,20-24,,15.7,0.0,16.1,11.2,29.8,15.7
301-400,The Hong Kong University of Science and Technology,hk,5,,18.6,0.0,14.7,9.9,34.1,18.6
301-400,Huazhong Agricultural University,cn,51-68,,16.5,0.0,16.1,8.0,36.6,16.5
301-400,Indian Institute of Science,in,1,,17.5,0.0,9.3,6.8,39.0,17.5
301-400,Indiana University-Purdue University at Indianapolis,us,83-99,,13.7,0.0,14.7,8.2,36.0,13.7
301-400,Institut Polytechnique de Paris,fr,13-16,,25.9,15.4,0.0,8.9,24.2,25.9
301-400,James Cook University,au,16-22,,27.5,0.0,16.1,14.4,24.3,27.5
301-400,Jiangnan University,cn,51-68,,15.2,0.0,9.3,5.0,41.4,15.2
301-400,Karlsruhe Institute of Technology (KIT),de,20-24,,17.2,0.0,13.2,9.4,36.4,17.2
301-400,Keio University,jp,9-11,,16.7,0.0,11.4,17.5,32.6,16.7
301-400,Kyushu University,jp,9-11,,14.3,0.0,6.6,14.1,39.0,14.3
301-400,La Trobe University,au,16-22,,27.3,0.0,13.2,11.1,33.6,27.3
301-400,Lancaster University,gb,26-33,,18.8,0.0,9.3,12.6,29.4,18.8
301-400,Laval University,ca,12-17,,16.9,0.0,11.4,7.5,36.1,16.9
301-400,Linkoping University,se,7-8,,19.1,0.0,13.2,10.6,32.0,19.1
301-400,Nanchang University,cn,51-68,,15.0,0.0,16.1,5.7,42.0,15.0
301-400,Nanjing Agricultural University,cn,51-68,,17.3,0.0,14.7,9.1,38.8,17.3
301-400,Nanjing University of Aeronautics and Astronautics,cn,51-68,,16.7,0.0,16.1,1.4,44.5,16.7
301-400,Nanjing University of Information Science & Technology,cn,51-68,,14.9,0.0,11.4,3.8,38.6,14.9
301-400,Nanjing University of Science and Technology,cn,51-68,,15.6,0.0,17.4,4.1,41.9,15.6
301-400,National Cheng Kung University (NCKU),tw,3,,18.1,0.0,13.2,6.7,36.1,18.1
301-400,Northeastern University (Shenyang),cn,51-68,,17.3,0.0,13.2,0.0,48.0,17.3
301-400,Northwest A&F University,cn,51-68,,13.3,0.0,11.4,7.2,38.1,13.3
301-400,Ocean University of China,cn,51-68,,15.8,0.0,9.3,9.2,39.9,15.8
301-400,Okinawa Institute of Science and Technology Graduate University,jp,9-11,,12.3,20.6,9.3,11.1,13.5,12.3
301-400,Paul Sabatier University (Toulouse 3),fr,13-16,,16.7,0.0,14.7,15.8,31.3,16.7
301-400,Pohang University of Science and Technology,kr,8,,29.9,0.0,6.6,14.1,25.9,29.9
301-400,Pompeu Fabra University,es,3-7,,36.6,0.0,9.3,15.8,26.0,36.6
301-400,Princess Nourah bint Abdulrahman University,sa,5,,17.2,0.0,17.4,0.0,36.0,17.2
301-400,Queen's University Belfast,gb,26-33,,18.9,0.0,9.3,8.4,29.9,18.9
301-400,Queensland University of Technology,au,16-22,,22.3,0.0,17.4,5.6,36.4,22.3
301-400,RMIT University,au,16-22,,22.3,0.0,13.2,8.2,34.1,22.3
301-400,ShanghaiTech University,cn,51-68,,26.9,0.0,0.0,21.6,25.9,26.9
301-400,Simon Fraser University,ca,12-17,,17.6,0.0,9.3,14.5,29.5,17.6
301-400,"University at Buffalo, the State University of New York",us,83-99,,15.6,0.0,13.2,9.4,33.5,15.6
301-400,Stony Brook University,us,83-99,,14.9,0.0,9.3,15.1,31.9,14.9
301-400,Swedish University of Agricultural Sciences,se,7-8,,28.5,0.0,13.2,10.9,27.4,28.5
301-400,The University of Georgia,us,83-99,,17.5,0.0,11.4,12.6,38.7,17.5
301-400,The University of Reading,gb,26-33,,21.6,0.0,14.7,11.0,26.3,21.6
301-400,UNESP,br,2,,18.1,0.0,6.6,4.1,41.4,18.1
301-400,National and Kapodistrian University of Athens,gr,1,,17.0,0.0,11.4,7.7,36.9,17.0
301-400,University College Cork,ie,2-3,,15.7,0.0,25.5,9.3,24.3,15.7
301-400,University College Dublin,ie,2-3,,16.3,0.0,11.4,11.1,34.3,16.3
301-400,University of Belgrade,rs,1,,17.2,0.0,9.3,4.5,38.6,17.2
301-400,University of Bergen,no,3,,19.8,0.0,9.3,17.0,33.4,19.8
301-400,University of Bochum,de,20-24,,15.8,0.0,11.4,11.5,33.0,15.8
301-400,University of Central Florida,us,83-99,,17.5,0.0,11.4,12.1,29.8,17.5
301-400,University of Connecticut,us,83-99,,14.1,0.0,13.2,14.1,31.9,14.1
301-400,University of Duisburg-Essen,de,20-24,,15.5,0.0,14.7,10.9,30.9,15.5
301-400,University of Florence,it,9-10,,20.2,0.0,11.4,9.2,39.7,20.2
301-400,University of Hawaii at Manoa,us,83-99,,19.5,0.0,14.7,13.7,30.1,19.5
301-400,University of Houston,us,83-99,,20.4,0.0,13.2,14.1,34.4,20.4
301-400,University of Illinois at Chicago,us,83-99,,15.7,0.0,6.6,12.7,38.7,15.7
301-400,University of Innsbruck,at,3-4,,22.0,6.5,11.4,17.9,23.9,22.0
301-400,University of Kansas,us,83-99,,14.1,0.0,9.3,11.7,35.0,14.1
301-400,University of Kentucky,us,83-99,,16.3,0.0,6.6,5.9,36.1,16.3
301-400,University of Leicester,gb,26-33,,23.0,0.0,13.2,11.6,30.9,23.0
301-400,University of Liege,be,6-7,,24.2,0.0,6.6,13.1,29.2,24.2
301-400,University of Lille,fr,13-16,,13.9,0.0,9.3,9.4,36.6,13.9
301-400,University of Macau,mo,1,,26.0,0.0,13.2,2.0,35.2,26.0
301-400,"University of Maryland, Baltimore",us,83-99,,16.0,0.0,11.4,13.8,35.2,16.0
301-400,University of Miami,us,83-99,,20.2,0.0,9.3,12.6,38.1,20.2
301-400,University of Milano-Bicocca,it,9-10,,23.1,0.0,11.4,7.2,34.2,23.1
301-400,University of Saskatchewan,ca,12-17,,18.1,0.0,13.2,9.0,30.0,18.1
301-400,University of South Florida,us,83-99,,17.0,0.0,11.4,13.6,35.6,17.0
301-400,University of Southern Denmark,dk,4-5,,17.9,0.0,13.2,10.2,38.2,17.9
301-400,University of St Andrews,gb,26-33,,21.2,0.0,11.4,16.0,23.8,21.2
301-400,University of Stuttgart,de,20-24,,13.5,0.0,9.3,12.6,24.3,13.5
301-400,University of Surrey,gb,26-33,,24.2,0.0,17.4,5.8,29.6,24.2
301-400,University of the Witwatersrand,za,2,,17.1,0.0,6.6,12.8,35.2,17.1
301-400,Toulouse 1 Capitole University,fr,13-16,,32.3,27.6,0.0,,9.7,32.3
301-400,University of Turku,fi,2-3,,15.7,0.0,9.3,11.8,33.3,15.7
301-400,University of Valencia,es,3-7,,17.3,0.0,11.4,9.2,41.3,17.3
301-400,University of Victoria,ca,12-17,,18.7,0.0,16.1,10.3,27.4,18.7
301-400,University of York,gb,26-33,,20.5,0.0,9.3,14.3,31.5,20.5
301-400,Vienna University of Technology,at,3-4,,25.4,0.0,9.3,18.9,23.4,25.4
301-400,Vrije Universiteit Brussel (VUB),be,6-7,,26.8,0.0,6.6,9.9,29.4,26.8
301-400,Western Sydney University,au,16-22,,24.9,0.0,16.1,9.6,30.1,24.9
301-400,Western University,ca,12-17,,20.2,0.0,14.7,6.1,39.9,20.2
301-400,Yangzhou University,cn,51-68,,13.5,0.0,11.4,4.5,41.2,13.5
301-400,Zhejiang University of Technology,cn,51-68,,13.9,0.0,14.7,6.9,37.7,13.9
401-500,Albert Einstein College of Medicine,us,100-117,,13.7,0.0,6.6,16.1,26.7,13.7
401-500,Bar-Ilan University,il,5,,18.8,0.0,11.4,8.1,27.4,18.8
401-500,Chalmers University of Technology,se,9,,21.2,0.0,9.3,11.2,27.4,21.2
401-500,China University of Mining and Technology - Xuzhou,cn,69-88,,15.5,0.0,9.3,1.4,40.8,15.5
401-500,China University of Petroleum (Huadong),cn,69-88,,16.1,0.0,13.2,1.4,36.1,16.1
401-500,CUNY Graduate School and University Center,us,100-117,,28.8,0.0,11.4,9.2,22.1,28.8
401-500,Drexel University,us,100-117,,21.0,0.0,13.2,8.4,26.5,21.0
401-500,Eindhoven University of Technology,nl,11-12,,20.4,0.0,11.4,10.2,28.4,20.4
401-500,Federal University of Minas Gerais,br,3-5,,16.2,0.0,6.6,8.1,36.1,16.2
401-500,Georgetown University,us,100-117,,19.0,0.0,9.3,7.5,30.1,19.0
401-500,Guangzhou Medical University,cn,69-88,,17.3,0.0,9.3,4.6,33.8,17.3
401-500,Guangzhou University,cn,69-88,,13.3,0.0,9.3,4.5,34.3,13.3
401-500,Hainan University,cn,69-88,,12.1,0.0,9.3,3.2,34.3,12.1
401-500,Hannover Medical School,de,25-31,,13.4,0.0,11.4,8.4,27.7,13.4
401-500,Henan University,cn,69-88,,11.2,0.0,9.3,7.9,33.6,11.2
401-500,Hiroshima University,jp,12,,14.1,0.0,6.6,8.7,33.5,14.1
401-500,Hohai University,cn,69-88,,14.6,0.0,6.6,0.0,40.7,14.6
401-500,Humanitas University,it,11-17,,42.5,0.0,9.3,5.6,16.9,42.5
401-500,Iowa State University,us,100-117,,15.2,0.0,9.3,8.7,32.6,15.2
401-500,Istanbul University,tr,1,,16.4,0.0,0.0,5.9,35.4,16.4
401-500,Jagiellonian University,pl,1-2,,10.4,0.0,0.0,9.7,34.1,10.4
401-500,King Fahd University of Petroleum & Minerals,sa,6-7,,21.3,0.0,16.1,0.0,27.5,21.3
401-500,King Khalid University,sa,6-7,,18.2,0.0,0.0,1.4,42.3,18.2
401-500,Kunming University of Science and Technology,cn,69-88,,11.5,0.0,6.6,7.5,35.1,11.5
401-500,Kyung Hee University,kr,9-12,,17.4,0.0,9.3,5.4,37.0,17.4
401-500,Kyungpook National University,kr,9-12,,16.3,0.0,6.6,7.2,35.1,16.3
401-500,Louisiana State University - Baton Rouge,us,100-117,,17.1,0.0,6.6,10.2,30.1,17.1
401-500,Macau University of Science and Technology,mo,2,,22.0,0.0,13.2,3.5,25.9,22.0
401-500,Masaryk University,cz,2,,21.0,0.0,6.6,9.7,28.1,21.0
401-500,Murdoch University,au,23-24,,26.6,0.0,13.2,6.6,22.2,26.6
401-500,Nanjing Forestry University,cn,69-88,,16.1,0.0,9.3,2.3,39.3,16.1
401-500,Nanjing Normal University,cn,69-88,,12.7,0.0,6.6,5.9,34.4,12.7
401-500,National Tsing Hua University,tw,4-5,,17.2,0.0,6.6,5.9,27.3,17.2
401-500,National Yang Ming Chiao Tung University,tw,4-5,,20.8,0.0,0.0,6.8,41.2,20.8
401-500,Northern Arizona University,us,100-117,,17.0,0.0,16.1,12.2,18.3,17.0
401-500,Polytechnic University of Valencia,es,8-9,,15.0,0.0,13.2,6.3,29.3,15.0
401-500,Pusan National University,kr,9-12,,16.1,0.0,6.6,8.2,34.7,16.1
401-500,Renmin University of China,cn,69-88,,13.9,0.0,6.6,,32.0,13.9
401-500,Rensselaer Polytechnic Institute,us,100-117,,22.6,0.0,9.3,11.4,15.6,22.6
401-500,Saint Petersburg State University,ru,2,,15.1,0.0,0.0,7.6,30.0,15.1
401-500,Sejong University,kr,9-12,,21.7,0.0,9.3,4.8,28.7,21.7
401-500,Shandong University of Science and Technology,cn,69-88,,13.1,0.0,13.2,2.5,33.9,13.1
401-500,University of Shanghai for Science and Technology,cn,69-88,,14.4,0.0,13.2,3.5,33.0,14.4
401-500,South China Agricultural University,cn,69-88,,12.4,0.0,11.4,6.3,34.0,12.4
401-500,South China Normal University,cn,69-88,,11.7,0.0,9.3,4.6,34.6,11.7
401-500,Southern Medical University,cn,69-88,,21.4,0.0,0.0,3.2,44.1,21.4
401-500,Southwest Jiaotong University,cn,69-88,,13.8,0.0,6.6,4.5,41.9,13.8
401-500,Stellenbosch University,za,3-4,,14.4,0.0,6.6,9.6,31.3,14.4
401-500,Swansea University,gb,34-38,,20.2,0.0,11.4,6.4,25.0,20.2
401-500,Technical University Darmstadt,de,25-31,,12.9,0.0,6.6,10.5,25.7,12.9
401-500,Temple University,us,100-117,,12.3,0.0,13.2,8.1,31.0,12.3
401-500,The University of Dundee,gb,34-38,,22.3,0.0,16.1,11.3,20.0,22.3
401-500,"The University of Newcastle, Australia",au,23-24,,23.5,0.0,9.3,4.5,32.4,23.5
401-500,Catholic University of the Sacred Heart,it,11-17,,21.5,0.0,13.2,2.0,32.9,21.5
401-500,Federal University of Rio Grande do Sul,br,3-5,,15.1,0.0,6.6,5.4,34.1,15.1
401-500,"University of Natural Resources and Life Sciences, Vienna",at,5,,29.6,0.0,14.7,5.6,20.9,29.6
401-500,University of South Carolina - Columbia,us,100-117,,15.3,0.0,9.3,7.5,32.5,15.3
401-500,The University of Texas Medical Branch at Galveston,us,100-117,,17.8,0.0,11.4,13.1,19.9,17.8
401-500,University of Alabama at Birmingham,us,100-117,,13.6,0.0,0.0,10.2,38.5,13.6
401-500,University of Aveiro,pt,3-5,,23.3,0.0,13.2,3.9,29.7,23.3
401-500,University of Bari,it,11-17,,19.6,0.0,11.4,6.2,32.4,19.6
401-500,University of Bath,gb,34-38,,19.3,0.0,9.3,9.6,28.6,19.3
401-500,University of Campinas,br,3-5,,17.0,0.0,6.6,5.9,38.4,17.0
401-500,University of Canterbury,nz,2-4,,22.1,0.0,13.2,11.0,22.3,22.1
401-500,University of Chile,cl,1,,14.6,0.0,6.6,10.3,31.3,14.6
401-500,University of Coimbra,pt,3-5,,18.0,0.0,6.6,8.2,32.3,18.0
401-500,University of Côte d'Azur,fr,17-18,,17.5,0.0,9.3,15.2,26.8,17.5
401-500,University of Essex,gb,34-38,,17.9,0.0,6.6,5.2,23.1,17.9
401-500,University of Genoa,it,11-17,,20.0,0.0,11.4,5.6,33.6,20.0
401-500,University of Jena,de,25-31,,13.3,0.0,9.3,10.6,27.5,13.3
401-500,University of Kent,gb,34-38,,18.7,0.0,9.3,5.0,22.6,18.7
401-500,University of Malaya,my,1,,16.1,0.0,11.4,2.9,35.6,16.1
401-500,University of Marburg,de,25-31,,13.4,0.0,9.3,13.3,25.9,13.4
401-500,University of Minho,pt,3-5,,17.2,0.0,11.4,6.1,27.3,17.2
401-500,University of Notre Dame,us,100-117,,17.5,0.0,9.3,9.1,27.5,17.5
401-500,University of Oregon,us,100-117,,18.6,0.0,6.6,15.5,24.9,18.6
401-500,University of Otago,nz,2-4,,20.6,0.0,6.6,11.3,31.8,20.6
401-500,University of Oulu,fi,4,,13.6,0.0,6.6,7.0,29.1,13.6
401-500,University of Pavia,it,11-17,,22.4,0.0,11.4,6.7,30.3,22.4
401-500,University of Potsdam,de,25-31,,14.1,0.0,9.3,14.1,28.1,14.1
401-500,University of Pretoria,za,3-4,,14.4,0.0,9.3,7.2,31.2,14.4
401-500,University of Regensburg,de,25-31,,13.0,0.0,9.3,17.0,23.3,13.0
401-500,University of Rennes,fr,17-18,,17.5,0.0,6.6,8.8,30.7,17.5
401-500,University of Tehran,ir,1,,18.0,0.0,0.0,4.1,40.7,18.0
401-500,University of the Basque Country,es,8-9,,16.4,0.0,0.0,12.9,34.3,16.4
401-500,University of Trento,it,11-17,,21.8,0.0,13.2,6.6,27.2,21.8
401-500,University of Twente,nl,11-12,,18.3,0.0,13.2,6.2,28.9,18.3
401-500,University of Ulm,de,25-31,,14.2,0.0,14.7,10.7,27.4,14.2
401-500,University of Vermont,us,100-117,,19.5,0.0,6.6,8.6,23.9,19.5
401-500,University of Warsaw,pl,1-2,,10.8,0.0,0.0,11.4,30.4,10.8
401-500,University of Zagreb,hr,1,,15.2,0.0,6.6,6.6,34.2,15.2
401-500,The University of Texas Health Science Center at San Antonio,us,100-117,,17.7,0.0,16.1,7.2,23.2,17.7
401-500,Utah State University,us,100-117,,15.8,0.0,6.6,9.1,23.6,15.8
401-500,Victoria University of Wellington,nz,2-4,,20.0,0.0,6.6,10.3,24.8,20.0
401-500,Vita-Salute San Raffaele University,it,11-17,,33.4,0.0,11.4,5.0,21.2,33.4
401-500,Washington State University,us,100-117,,14.5,0.0,13.2,8.9,27.3,14.5
401-500,Xidian University,cn,69-88,,13.7,0.0,9.3,1.4,40.1,13.7
401-500,York University,ca,18,,13.7,0.0,9.3,7.5,29.7,13.7
401-500,Yunnan University,cn,69-88,,12.4,0.0,6.6,9.5,32.4,12.4
401-500,Zhejiang Normal University,cn,69-88,,11.8,0.0,14.7,4.6,28.0,11.8
501-600,Anhui Medical University,cn,89-110,,18.0,0.0,0.0,5.4,35.0,18.0
501-600,Anhui University,cn,89-110,,11.6,0.0,6.6,3.8,31.9,11.6
501-600,Aristotle University of Thessaloniki,gr,2,,14.6,0.0,6.6,3.5,33.1,14.6
501-600,Australian Catholic University,au,25-26,,21.6,0.0,16.1,1.4,19.0,21.6
501-600,Beijing Jiaotong University,cn,89-110,,14.0,0.0,9.3,0.0,36.4,14.0
501-600,Ben-Gurion University of the Negev,il,6,,19.4,0.0,0.0,8.1,32.2,19.4
501-600,Binghamton University,us,118-144,,16.3,16.0,0.0,6.3,17.3,16.3
501-600,Boston College,us,118-144,,15.9,0.0,9.3,13.3,21.3,15.9
501-600,Brigham Young University,us,118-144,,12.2,0.0,6.6,8.1,23.2,12.2
501-600,Carleton University,ca,19-22,,15.5,0.0,11.4,5.7,26.5,15.5
501-600,Central China Normal University,cn,89-110,,12.3,0.0,13.2,2.5,28.2,12.3
501-600,Chang'an University,cn,89-110,,12.1,0.0,9.3,1.4,32.9,12.1
501-600,China University of Petroleum (Beijing),cn,89-110,,16.6,0.0,6.6,5.0,31.1,16.6
501-600,"The Chinese University of Hong Kong, Shenzhen",cn,89-110,,19.1,0.0,11.4,6.9,20.0,19.1
501-600,Chulalongkorn University,th,1,,14.5,0.0,6.6,2.5,32.8,14.5
501-600,COMSATS University Islamabad,pk,1,,16.0,0.0,0.0,3.2,37.0,16.0
501-600,Concordia University,ca,19-22,,14.6,0.0,9.3,5.0,26.3,14.6
501-600,Duke-NUS Medical School,sg,3,,11.2,0.0,11.4,12.3,20.0,11.2
501-600,Eotvos Lorand University,hu,1,,12.5,0.0,6.6,8.4,25.9,12.5
501-600,Federal University of Rio de Janeiro,br,6,,15.4,0.0,0.0,6.2,35.3,15.4
501-600,Florida International University,us,118-144,,16.4,0.0,6.6,8.1,28.7,16.4
501-600,Georgia State University,us,118-144,,16.6,0.0,9.3,4.5,27.2,16.6
501-600,Hangzhou Dianzi University,cn,89-110,,12.9,0.0,11.4,1.4,28.9,12.9
501-600,Harbin Engineering University,cn,89-110,,12.9,0.0,9.3,0.0,32.1,12.9
501-600,Hefei University of Technology,cn,89-110,,13.0,0.0,6.6,1.4,36.6,13.0
501-600,Hunan Normal University,cn,89-110,,11.6,0.0,9.3,3.7,29.7,11.6
501-600,Kansas State University,us,118-144,,16.9,0.0,9.3,5.2,25.2,16.9
501-600,Kobe University,jp,13-14,,13.4,0.0,0.0,9.2,28.5,13.4
501-600,Leibniz University Hannover,de,32-36,,12.2,0.0,9.3,9.6,24.9,12.2
501-600,Medical University of Innsbruck,at,6-7,,26.3,0.0,11.4,6.6,21.6,26.3
501-600,Medical University of South Carolina,us,118-144,,34.3,0.0,6.6,2.5,26.3,34.3
501-600,Mississippi State University,us,118-144,,16.7,0.0,9.3,7.7,24.6,16.7
501-600,Moscow Institute of Physics and Technology,ru,3,,12.6,0.0,0.0,7.2,24.4,12.6
501-600,Nanjing University of Posts and Telecommunications,cn,89-110,,12.0,0.0,11.4,4.6,30.4,12.0
501-600,"National University of Ireland, Galway",ie,4,,11.7,0.0,9.3,7.5,24.4,11.7
501-600,National University of Malaysia,my,2,,14.4,0.0,6.6,2.9,32.6,14.4
501-600,National University of Defense Technology,cn,89-110,,15.3,0.0,0.0,4.8,35.2,15.3
501-600,Ningbo University,cn,89-110,,15.0,0.0,0.0,2.5,38.6,15.0
501-600,Northwest University,cn,89-110,,13.2,0.0,0.0,10.8,33.2,13.2
501-600,North-West University,za,5-7,,11.6,0.0,6.6,5.9,24.5,11.6
501-600,Okayama University,jp,13-14,,12.9,0.0,9.3,10.9,25.9,12.9
501-600,Oklahoma State University,us,118-144,,15.9,0.0,9.3,5.6,26.3,15.9
501-600,Prince Sattam Bin Abdulaziz University,sa,8,,16.7,0.0,0.0,0.0,38.8,16.7
501-600,Qatar University,qa,1,,13.5,0.0,14.7,2.9,27.6,13.5
501-600,Rush University,us,118-144,,14.7,0.0,11.4,5.0,24.6,14.7
501-600,Saarland University,de,32-36,,11.7,0.0,9.3,7.7,24.3,11.7
501-600,Saint Louis University,us,118-144,,12.1,9.2,6.6,6.7,20.8,12.1
501-600,Scuola Normale Superiore - Pisa,it,18-24,,44.0,0.0,0.0,5.1,14.8,44.0
501-600,Shaanxi Normal University,cn,89-110,,11.7,0.0,11.4,1.4,30.5,11.7
501-600,Southwest University,cn,89-110,,11.3,0.0,0.0,2.5,38.7,11.3
501-600,Southwestern University of Finance and Economics,cn,89-110,,12.9,0.0,6.6,,25.0,12.9
501-600,"St George's, University of London",gb,39-40,,34.2,0.0,11.4,3.2,18.0,34.2
501-600,Stockholm School of Economics,se,10,,42.2,14.6,0.0,,10.0,42.2
501-600,Tampere University,fi,5-6,,14.1,0.0,6.6,7.7,31.0,14.1
501-600,Tehran University of Medical Sciences,ir,2,,15.6,0.0,0.0,3.2,36.1,15.6
501-600,Texas Tech University,us,118-144,,15.6,0.0,9.3,5.6,30.1,15.6
501-600,The City College of New York,us,118-144,,19.7,0.0,6.6,6.7,14.5,19.7
501-600,The University of Texas at Dallas,us,118-144,,20.0,0.0,0.0,12.1,23.5,20.0
501-600,The University of Texas at San Antonio,us,118-144,,15.5,0.0,9.3,6.4,24.5,15.5
501-600,Thomas Jefferson University,us,118-144,,27.0,0.0,6.6,4.2,25.6,27.0
501-600,Tianjin Medical University,cn,89-110,,21.8,0.0,0.0,3.2,33.5,21.8
501-600,Tulane University,us,118-144,,13.9,0.0,6.6,8.8,26.8,13.9
501-600,The University of New Mexico - Albuquerque,us,118-144,,13.3,0.0,0.0,12.2,29.9,13.3
501-600,Università Della Svizzera Italiana,ch,8-9,,24.9,0.0,9.3,13.6,14.3,24.9
501-600,University of Alicante,es,10-13,,15.5,0.0,9.3,7.0,24.0,15.5
501-600,University of Arkansas at Fayetteville,us,118-144,,15.7,0.0,6.6,7.3,25.5,15.7
501-600,University of Bayreuth,de,32-36,,11.4,0.0,6.6,14.7,21.0,11.4
501-600,"University of California, Merced",us,118-144,,23.1,0.0,11.4,10.5,18.0,23.1
501-600,University of Catania,it,18-24,,17.2,0.0,9.3,4.1,28.5,17.2
501-600,University of Eastern Finland,fi,5-6,,13.0,0.0,6.6,6.4,28.7,13.0
501-600,University of Fribourg,ch,8-9,,18.9,0.0,14.7,6.2,18.9,18.9
501-600,University of Graz,at,6-7,,18.6,0.0,6.6,7.0,19.4,18.6
501-600,University of Guelph,ca,19-22,,17.4,0.0,6.6,5.0,29.0,17.4
501-600,University of Johannesburg,za,5-7,,14.7,0.0,0.0,7.0,33.4,14.7
501-600,University of Konstanz,de,32-36,,11.8,0.0,6.6,16.9,20.6,11.8
501-600,University of KwaZulu-Natal,za,5-7,,14.2,0.0,0.0,12.3,30.6,14.2
501-600,University of Maine,us,118-144,,18.4,16.0,0.0,7.9,15.4,18.4
501-600,University of Navarra,es,10-13,,11.7,0.0,11.4,6.7,23.8,11.7
501-600,University of Nevada - Reno,us,118-144,,17.1,0.0,6.6,10.5,23.3,17.1
501-600,University of Nevada-Las Vegas,us,118-144,,15.8,0.0,6.6,11.2,21.6,15.8
501-600,University of North Texas,us,118-144,,17.2,0.0,9.3,6.1,26.7,17.2
501-600,University of Oklahoma - Oklahoma City,us,118-144,,27.6,0.0,11.4,3.7,18.5,27.6
501-600,University of Palermo,it,18-24,,16.2,0.0,6.6,4.1,29.3,16.2
501-600,University of Parma,it,18-24,,18.3,0.0,11.4,1.4,25.4,18.3
501-600,University of Perugia,it,18-24,,19.0,0.0,6.6,5.6,27.1,19.0
501-600,University of Roma - Tor Vergata,it,18-24,,20.0,0.0,0.0,9.1,32.2,20.0
501-600,University of Rostock,de,32-36,,11.6,0.0,9.3,13.5,21.4,11.6
501-600,University of Salamanca,es,10-13,,15.5,0.0,9.3,8.1,25.4,15.5
501-600,University of Sherbrooke,ca,19-22,,13.3,0.0,6.6,12.0,24.4,13.3
501-600,University of South Australia,au,25-26,,19.9,0.0,9.3,4.5,26.4,19.9
501-600,University of Strathclyde,gb,39-40,,18.2,0.0,6.6,6.8,27.6,18.2
501-600,University of Verona,it,18-24,,20.5,0.0,11.4,3.2,26.1,20.5
501-600,University of Vigo,es,10-13,,16.8,0.0,9.3,4.1,25.4,16.8
501-600,Vilnius University,lt,1,,11.4,0.0,6.6,7.6,23.8,11.4
501-600,Wake Forest University,us,118-144,,12.2,0.0,9.3,2.9,28.8,12.2
501-600,Wenzhou Medical University,cn,89-110,,14.8,0.0,0.0,7.1,35.9,14.8
501-600,West Virginia University,us,118-144,,14.0,0.0,9.3,8.5,27.1,14.0
501-600,Westlake University,cn,89-110,,10.7,0.0,9.3,15.2,17.4,10.7
501-600,Xi'an University of Technology,cn,89-110,,14.5,0.0,6.6,0.0,34.2,14.5
501-600,Yeungnam University,kr,13,,17.2,0.0,13.2,1.4,28.8,17.2
601-700,Addis Ababa University,et,1,,11.4,0.0,0.0,5.4,23.0,11.4
601-700,Ain Shams University,eg,2-4,,13.6,0.0,0.0,4.4,31.3,13.6
601-700,Alexandria University,eg,2-4,,13.9,0.0,0.0,2.5,31.0,13.9
601-700,Amirkabir University of Technology,ir,3,,12.2,0.0,9.3,0.0,26.7,12.2
601-700,Asia University,tw,6-10,,22.8,0.0,6.6,1.4,24.8,22.8
601-700,Auburn University,us,145-157,,14.5,0.0,0.0,7.0,29.1,14.5
601-700,Bangor University,gb,41-45,,22.0,0.0,9.3,4.5,16.3,22.0
601-700,Baylor University,us,145-157,,14.8,0.0,9.3,6.1,22.9,14.8
601-700,Beijing University of Posts and Telecommunications,cn,111-129,,13.0,0.0,9.3,0.0,31.0,13.0
601-700,Brescia University,it,25-31,,20.5,0.0,6.6,3.8,24.0,20.5
601-700,Chang Gung University,tw,6-10,,23.0,0.0,0.0,2.0,32.7,23.0
601-700,Changzhou University,cn,111-129,,11.7,0.0,9.3,1.4,25.6,11.7
601-700,Charles Darwin University,au,27-28,,32.8,0.0,6.6,3.7,17.8,32.8
601-700,Chiang Mai University,th,2-3,,12.8,0.0,6.6,4.1,28.6,12.8
601-700,Chiba University,jp,15-19,,13.2,0.0,0.0,10.0,26.9,13.2
601-700,China Medical University (Shenyang),cn,111-129,,18.3,0.0,0.0,2.0,32.4,18.3
601-700,China University of Mining and Technology - Beijing,cn,111-129,,17.4,0.0,6.6,0.0,28.6,17.4
601-700,Chongqing Medical University,cn,111-129,,14.2,0.0,0.0,2.0,37.0,14.2
601-700,Chonnam National University,kr,14-18,,14.7,0.0,0.0,7.7,30.7,14.7
601-700,Clemson University,us,145-157,,15.3,0.0,0.0,8.6,27.2,15.3
601-700,Czech University of Life Sciences Prague,cz,3-4,,23.8,0.0,6.6,3.5,20.1,23.8
601-700,Dalian Maritime University,cn,111-129,,12.6,0.0,9.3,1.4,28.0,12.6
